,movie,year,imdb,metascore,votes
323, Crazy Rich Asians,2018,6.9,74,189K
324, Bumblebee,2018,6.7,66,187K
325, Rampage,2018,6.1,45,184K
326, Sugar Rush Online,2018,7.0,71,182K
327, Searching,2018,7.6,71,179K
328, The Nun,2018,5.3,46,169K
329, Roma,2018,7.7,96,169K
330, Halloween,2018,6.5,67,168K
331, The Ballad of Buster Scruggs,2018,7.2,79,167K
332, Soldado: The Soldier,2018,7.1,61,166K
333, Bad Times at the El Royale,2018,7.1,60,164K
334, A Simple Favor,2018,6.8,67,162K
335,Avengers: Infinity War,2018,8.4,68,1.2M
336,Black Panther,2018,7.3,88,834K
337,Spider-Man: Into the Spider-Verse,2018,8.4,87,665K
338,Deadpool 2,2018,7.6,66,642K
339,Bohemian Rhapsody,2018,7.9,49,589K
340,A Quiet Place,2018,7.5,82,580K
341,Green Book,2018,8.2,69,565K
342,Venom,2018,6.6,35,535K
343,Aquaman,2018,6.8,55,519K
344, Ready Player One,2018,7.4,64,483K
345, Ant-Man and the Wasp,2018,7.0,70,447K
346, A Star Is Born,2018,7.6,88,417K
347, Bird Box,2018,6.6,51,384K
348, Solo: A Star Wars Story,2018,6.9,62,378K
349, Mission: Impossible - Fallout,2018,7.7,87,377K
350, Hereditary,2018,7.3,87,375K
351, Annihilation,2018,6.8,79,359K
352, Jurassic World: Fallen Kingdom,2018,6.1,51,342K
353, Incredibles 2,2018,7.5,80,329K
354, Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,307K
355, BlacKkKlansman,2018,7.5,83,290K
356, Game Night,2018,6.9,66,255K
357, Ocean's Eight,2018,6.3,61,241K
358, The Favourite,2018,7.5,91,230K
359, Tomb Raider,2018,6.3,48,226K
360, The Meg,2018,5.7,46,207K
361, Upgrade,2018,7.5,67,206K
362, First Man,2018,7.3,84,202K
363, Red Sparrow,2018,6.6,53,201K
364, The Equalizer 2,2018,6.7,50,196K
365, Isle of Dogs,2018,7.8,82,190K
366, Crazy Rich Asians,2018,6.9,74,189K
367, Bumblebee,2018,6.7,66,187K
368, Rampage,2018,6.1,45,184K
369, Sugar Rush Online,2018,7.0,71,182K
370, Searching,2018,7.6,71,179K
371, The Nun,2018,5.3,46,169K
372, Roma,2018,7.7,96,169K
373, Halloween,2018,6.5,67,168K
374, The Ballad of Buster Scruggs,2018,7.2,79,167K
375, Soldado: The Soldier,2018,7.1,61,166K
376, Bad Times at the El Royale,2018,7.1,60,164K
377, A Simple Favor,2018,6.8,67,162K
378,Avengers: Infinity War,2018,8.4,68,1.2M
379,Black Panther,2018,7.3,88,834K
380,Spider-Man: Into the Spider-Verse,2018,8.4,87,665K
381,Deadpool 2,2018,7.6,66,642K
382,Bohemian Rhapsody,2018,7.9,49,589K
383,A Quiet Place,2018,7.5,82,580K
384,Green Book,2018,8.2,69,565K
385,Venom,2018,6.6,35,535K
386,Aquaman,2018,6.8,55,519K
387, Ready Player One,2018,7.4,64,483K
388, Ant-Man and the Wasp,2018,7.0,70,447K
389, A Star Is Born,2018,7.6,88,417K
390, Bird Box,2018,6.6,51,384K
391, Solo: A Star Wars Story,2018,6.9,62,378K
392, Mission: Impossible - Fallout,2018,7.7,87,377K
393, Hereditary,2018,7.3,87,375K
394, Annihilation,2018,6.8,79,359K
395, Jurassic World: Fallen Kingdom,2018,6.1,51,342K
396, Incredibles 2,2018,7.5,80,329K
397, Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,307K
398, BlacKkKlansman,2018,7.5,83,290K
399, Game Night,2018,6.9,66,255K
400, Ocean's Eight,2018,6.3,61,241K
401, The Favourite,2018,7.5,91,230K
402, Tomb Raider,2018,6.3,48,226K
403, The Meg,2018,5.7,46,207K
404, Upgrade,2018,7.5,67,206K
405, First Man,2018,7.3,84,202K
406, Red Sparrow,2018,6.6,53,201K
407, The Equalizer 2,2018,6.7,50,196K
408, Isle of Dogs,2018,7.8,82,190K
409, Crazy Rich Asians,2018,6.9,74,189K
410, Bumblebee,2018,6.7,66,187K
411, Rampage,2018,6.1,45,184K
412, Sugar Rush Online,2018,7.0,71,182K
413, Searching,2018,7.6,71,179K
414, The Nun,2018,5.3,46,169K
415, Roma,2018,7.7,96,169K
416, Halloween,2018,6.5,67,168K
417, The Ballad of Buster Scruggs,2018,7.2,79,167K
418, Soldado: The Soldier,2018,7.1,61,166K
419, Bad Times at the El Royale,2018,7.1,60,164K
420, A Simple Favor,2018,6.8,67,162K
421,Joker,2019,8.4,59,1.5M
422,Avengers: Endgame,2019,8.4,78,1.3M
423,Parasite,2019,8.5,97,949K
424,Once Upon a Time... in Hollywood,2019,7.6,84,841K
425,Knives Out,2019,7.9,82,770K
426,1917,2019,8.2,78,670K
427,Captain Marvel,2019,6.8,64,608K
